2022-07-24 19:01:45.721,Mode 3 access,100.00," gX: 0.08"," gY: 0.42"," gZ: 0.05",," Gain*gyroY: 41",
2022-07-24 19:01:45.737,Mode 3 access,100.00," gX: 0.08"," gY: 0.36"," gZ: 0.04",," Gain*gyroY: 35",
2022-07-24 19:01:45.754,Mode 3 access,100.00," gX: 0.06"," gY: 0.33"," gZ: 0.05",," Gain*gyroY: 33",
2022-07-24 19:01:45.770,Mode 3 access,100.00," gX: 0.04"," gY: 0.39"," gZ: 0.07",," Gain*gyroY: 38",
2022-07-24 19:01:45.786,Mode 3 access,100.00," gX: 0.05"," gY: 0.38"," gZ: 0.07",," Gain*gyroY: 38",
2022-07-24 19:01:45.803,Mode 3 access,100.00," gX: 0.05"," gY: 0.38"," gZ: 0.07",," Gain*gyroY: 38",
2022-07-24 19:01:45.819,Mode 3 access,100.00," gX: 0.06"," gY: 0.36"," gZ: 0.06",," Gain*gyroY: 35",
2022-07-24 19:01:45.836,Mode 3 access,100.00," gX: 0.06"," gY: 0.34"," gZ: 0.05",," Gain*gyroY: 34",
2022-07-24 19:01:45.848,Mode 3 access,100.00," gX: 0.05"," gY: 0.31"," gZ: 0.05",," Gain*gyroY: 30",
2022-07-24 19:01:45.864,Mode 3 access,100.00," gX: 0.01"," gY: 0.40"," gZ: 0.07",," Gain*gyroY: 40",
2022-07-24 19:01:45.881,Mode 3 access,100.00," gX: 0.01"," gY: 0.40"," gZ: 0.07",," Gain*gyroY: 40",
2022-07-24 19:01:45.897,Mode 3 access,100.00," gX: 0.01"," gY: 0.40"," gZ: 0.09",," Gain*gyroY: 39",
2022-07-24 19:01:45.914,Mode 3 access,100.00," gX: 0.02"," gY: 0.33"," gZ: 0.08",," Gain*gyroY: 32",
2022-07-24 19:01:45.930,Mode 3 access,100.00," gX: 0.02"," gY: 0.33"," gZ: 0.05",," Gain*gyroY: 32",
2022-07-24 19:01:45.946,Mode 3 access,100.00," gX: 0.01"," gY: 0.19"," gZ: -0.00",," Gain*gyroY: 19",
2022-07-24 19:01:45.963,Mode 3 access,100.00," gX: 0.01"," gY: 0.19"," gZ: -0.00",," Gain*gyroY: 19",
2022-07-24 19:01:45.979,Mode 3 access,100.00," gX: 0.00"," gY: 0.19"," gZ: -0.04",," Gain*gyroY: 18",
2022-07-24 19:01:45.995,Mode 3 access,100.00," gX: -0.02"," gY: 0.24"," gZ: -0.03",," Gain*gyroY: 23",
2022-07-24 19:01:46.012,Mode 3 access,100.00," gX: -0.00"," gY: 0.21"," gZ: -0.02",," Gain*gyroY: 20",
2022-07-24 19:01:46.024,Mode 3 access,100.00," gX: 0.00"," gY: 0.10"," gZ: -0.01",," Gain*gyroY: 10",
2022-07-24 19:01:46.040,Mode 3 access,100.00," gX: 0.00"," gY: 0.10"," gZ: -0.01",," Gain*gyroY: 10",
2022-07-24 19:01:46.056,Mode 3 access,100.00," gX: -0.02"," gY: 0.11"," gZ: -0.02",," Gain*gyroY: 10",
2022-07-24 19:01:46.073,Mode 3 access,100.00," gX: -0.06"," gY: 0.09"," gZ: -0.03",," Gain*gyroY: 9",
2022-07-24 19:01:46.090,Mode 3 access,100.00," gX: -0.08"," gY: -0.04"," gZ: -0.05",,,
2022-07-24 19:01:46.106,Mode 3 access,100.00," gX: -0.11"," gY: -0.07"," gZ: -0.05",,,
2022-07-24 19:01:46.118,Mode 3 access,100.00," gX: -0.11"," gY: -0.07"," gZ: -0.05",,,
2022-07-24 19:01:46.135,Mode 3 access,100.00," gX: -0.12"," gY: -0.10"," gZ: -0.05",,,
2022-07-24 19:01:46.151,Mode 3 access,100.00," gX: -0.11"," gY: -0.15"," gZ: -0.06",,,
2022-07-24 19:01:46.163,Mode 3 access,100.00," gX: -0.12"," gY: -0.22"," gZ: -0.06",,,
2022-07-24 19:01:46.180,Mode 3 access,100.00," gX: -0.12"," gY: -0.22"," gZ: -0.06",,,
2022-07-24 19:01:46.196,Mode 3 access,100.00," gX: -0.14"," gY: -0.26"," gZ: -0.07",,,
2022-07-24 19:01:46.208,Mode 3 access,100.00," gX: -0.16"," gY: -0.28"," gZ: -0.07",,,
2022-07-24 19:01:46.225,Mode 3 access,100.00," gX: -0.17"," gY: -0.29"," gZ: -0.08",,,
2022-07-24 19:01:46.241,Mode 3 access,100.00," gX: -0.17"," gY: -0.29"," gZ: -0.08",,,
2022-07-24 19:01:46.253,Mode 3 access,100.00," gX: -0.17"," gY: -0.30"," gZ: -0.09",,,
2022-07-24 19:01:46.269,Mode 3 access,100.00," gX: -0.17"," gY: -0.34"," gZ: -0.10",,,
2022-07-24 19:01:46.286,Mode 3 access,100.00," gX: -0.15"," gY: -0.41"," gZ: -0.11",,,
2022-07-24 19:01:46.298,Mode 3 access,100.00," gX: -0.15"," gY: -0.41"," gZ: -0.11",,,
2022-07-24 19:01:46.315,Mode 3 access,100.00," gX: -0.14"," gY: -0.52"," gZ: -0.13",,,
2022-07-24 19:01:46.331,Mode 3 access,100.00," gX: -0.14"," gY: -0.63"," gZ: -0.13",,,
2022-07-24 19:01:46.343,Mode 3 access,100.00," gX: -0.13"," gY: -0.61"," gZ: -0.11",,,
2022-07-24 19:01:46.359,Mode 3 access,100.00," gX: -0.13"," gY: -0.61"," gZ: -0.11",,,
2022-07-24 19:01:46.376,Mode 3 access,100.00," gX: -0.09"," gY: -0.76"," gZ: -0.13",,,
2022-07-24 19:01:46.388,Mode 3 access,100.00," gX: -0.10"," gY: -0.84"," gZ: -0.17",,,
2022-07-24 19:01:46.405,Mode 3 access,100.00," gX: -0.11"," gY: -0.89"," gZ: -0.17",,,
2022-07-24 19:01:46.422,Mode 3 access,100.00," gX: -0.11"," gY: -0.89"," gZ: -0.17",,,
2022-07-24 19:01:46.434,Mode 3 access,100.00," gX: -0.11"," gY: -0.98"," gZ: -0.16",,,
2022-07-24 19:01:46.450,Mode 3 access,100.00," gX: -0.08"," gY: -1.03"," gZ: -0.16",,,
2022-07-24 19:01:46.466,Mode 3 access,100.00," gX: -0.05"," gY: -1.06"," gZ: -0.17",,,
2022-07-24 19:01:46.478,Mode 3 access,100.00," gX: -0.05"," gY: -1.06"," gZ: -0.17",,,
2022-07-24 19:01:46.495,Mode 3 access,100.00," gX: -0.04"," gY: -1.02"," gZ: -0.17",,,
2022-07-24 19:01:46.511,Mode 3 access,100.00," gX: -0.05"," gY: -1.06"," gZ: -0.18",,,
