2022-07-24 19:44:05.606,Mode 3 access,125.00," gX: 0.01"," gY: -0.02"," gZ: 0.00",,,
2022-07-24 19:44:05.617,Mode 3 access,125.00," gX: 0.00"," gY: -0.02"," gZ: -0.00",,,
2022-07-24 19:44:05.634,Mode 3 access,125.00," gX: 0.01"," gY: -0.02"," gZ: 0.00",,,
2022-07-24 19:44:05.651,Mode 3 access,125.00," gX: 0.01"," gY: -0.02"," gZ: 0.00",,,
2022-07-24 19:44:05.663,Mode 3 access,125.00," gX: 0.01"," gY: -0.02"," gZ: 0.00",,,
2022-07-24 19:44:05.679,Mode 3 access,125.00," gX: 0.01"," gY: -0.01"," gZ: -0.00",,,
2022-07-24 19:44:05.695,Mode 3 access,125.00," gX: 0.01"," gY: -0.02"," gZ: 0.00",,,
2022-07-24 19:44:05.707,Mode 3 access,125.00," gX: 0.00"," gY: -0.02"," gZ: -0.00",,,
2022-07-24 19:44:05.724,Mode 3 access,125.00," gX: 0.00"," gY: -0.02"," gZ: -0.00",,,
2022-07-24 19:44:05.741,Mode 3 access,125.00," gX: 0.01"," gY: -0.02"," gZ: -0.00",,,
2022-07-24 19:44:05.753,Mode 3 access,125.00," gX: 0.00"," gY: -0.02"," gZ: -0.00",,,
2022-07-24 19:44:05.769,Mode 3 access,125.00," gX: -0.00"," gY: -0.01"," gZ: -0.00",,,
2022-07-24 19:44:05.785,Mode 3 access,125.00," gX: -0.00"," gY: -0.01"," gZ: -0.00",,,
2022-07-24 19:44:05.798,Mode 3 access,125.00," gX: -0.00"," gY: -0.02"," gZ: -0.00",,,
2022-07-24 19:44:05.814,Mode 3 access,125.00," gX: -0.00"," gY: -0.02"," gZ: -0.00",,,
2022-07-24 19:44:05.826,Mode 3 access,125.00," gX: 0.00"," gY: -0.02"," gZ: -0.00",,,
2022-07-24 19:44:05.843,Mode 3 access,125.00," gX: 0.00"," gY: -0.02"," gZ: -0.00",,,
2022-07-24 19:44:05.859,Mode 3 access,125.00," gX: -0.00"," gY: -0.02"," gZ: -0.00",,,
