2022-07-24 20:07:08.373,Mode 3 access,125.00," gX: 0.00"," gY: 0.82"," gZ: 0.14",," Gain*gyroY: 102",
2022-07-24 20:07:08.389,Mode 3 access,125.00," gX: -0.02"," gY: 0.81"," gZ: 0.12",," Gain*gyroY: 101",
2022-07-24 20:07:08.405,Mode 3 access,125.00," gX: -0.04"," gY: 0.87"," gZ: 0.11",," Gain*gyroY: 109",
2022-07-24 20:07:08.422,Mode 3 access,125.00," gX: -0.04"," gY: 0.87"," gZ: 0.11",," Gain*gyroY: 109",
2022-07-24 20:07:08.438,Mode 3 access,125.00," gX: -0.03"," gY: 0.86"," gZ: 0.12",," Gain*gyroY: 107",
2022-07-24 20:07:08.455,Mode 3 access,125.00," gX: -0.00"," gY: 0.81"," gZ: 0.17",," Gain*gyroY: 100",
2022-07-24 20:07:08.471,Mode 3 access,125.00," gX: 0.01"," gY: 0.80"," gZ: 0.20",," Gain*gyroY: 99",
2022-07-24 20:07:08.483,Mode 3 access,125.00," gX: -0.01"," gY: 0.91"," gZ: 0.22",," Gain*gyroY: 114",
2022-07-24 20:07:08.499,Mode 3 access,125.00," gX: -0.01"," gY: 0.91"," gZ: 0.22",," Gain*gyroY: 114",
2022-07-24 20:07:08.516,Mode 3 access,125.00," gX: -0.03"," gY: 1.03"," gZ: 0.23",," Gain*gyroY: 129",
2022-07-24 20:07:08.532,Mode 3 access,125.00," gX: -0.05"," gY: 1.04"," gZ: 0.22",," Gain*gyroY: 130",
2022-07-24 20:07:08.549,Mode 3 access,125.00," gX: -0.05"," gY: 0.94"," gZ: 0.19",," Gain*gyroY: 117",
2022-07-24 20:07:08.565,Mode 3 access,125.00," gX: -0.06"," gY: 0.99"," gZ: 0.20",," Gain*gyroY: 124",
2022-07-24 20:07:08.582,Mode 3 access,125.00," gX: -0.06"," gY: 0.99"," gZ: 0.20",," Gain*gyroY: 124",
2022-07-24 20:07:08.598,Mode 3 access,125.00," gX: -0.05"," gY: 1.02"," gZ: 0.21",," Gain*gyroY: 127",
2022-07-24 20:07:08.615,Mode 3 access,125.00," gX: -0.06"," gY: 1.17"," gZ: 0.25",," Gain*gyroY: 146",
2022-07-24 20:07:08.631,Mode 3 access,125.00," gX: -0.06"," gY: 1.11"," gZ: 0.26",," Gain*gyroY: 139",
2022-07-24 20:07:08.643,Mode 3 access,125.00," gX: -0.08"," gY: 1.14"," gZ: 0.27",," Gain*gyroY: 142",
2022-07-24 20:07:08.659,Mode 3 access,125.00," gX: -0.08"," gY: 1.14"," gZ: 0.27",," Gain*gyroY: 142",
